trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
180,ctgan,0.5,nearmiss,auto,0.9891604499066595,COMPLETE,2025-03-29 07:02:14.784423,2025-03-29 07:02:32.978655,18.194232
181,gaussiancopula,0,onesidedselection,0.125,0.9783357579867517,COMPLETE,2025-03-29 07:02:32.999837,2025-03-29 07:02:46.163088,13.163251
182,gaussiancopula,0,nearmiss,0.125,0.9892179705155923,COMPLETE,2025-03-29 07:02:46.174910,2025-03-29 07:03:02.104542,15.929632
183,ctgan,0.5,instancehardness,0.125,0.9892084292555944,COMPLETE,2025-03-29 07:03:02.117561,2025-03-29 07:03:20.927744,18.810183
184,ctgan,1,nearmiss,0.125,0.9891604499066595,COMPLETE,2025-03-29 07:03:20.941599,2025-03-29 07:03:39.326668,18.385069
185,copulagan,2,instancehardness,0.25,0.9870257379972729,COMPLETE,2025-03-29 07:03:39.348219,2025-03-29 07:03:57.203892,17.855673
186,copulagan,2,condensednn,0.0625,0.5906562194317295,COMPLETE,2025-03-29 07:03:57.216513,2025-03-29 07:04:10.570805,13.354292
187,copulagan,auto,nearmiss,auto,0.9848362611804578,COMPLETE,2025-03-29 07:04:10.582748,2025-03-29 07:04:25.886034,15.303286
188,ctgan,0.25,clustercentroid,0.0625,0.9782569445361456,COMPLETE,2025-03-29 07:04:25.907249,2025-03-29 07:04:49.020770,23.113521
189,fastml,1,random,0.25,0.991343141164981,COMPLETE,2025-03-29 07:04:49.032568,2025-03-29 07:05:05.026848,15.99428
190,random,0.5,instancehardness,0.125,0.9891907860322813,COMPLETE,2025-03-29 07:05:05.048165,2025-03-29 07:05:19.275075,14.22691
191,ctgan,2,editednn,auto,0.9805539716227228,COMPLETE,2025-03-29 07:05:19.286878,2025-03-29 07:05:35.519648,16.23277
192,tvae,2,condensednn,auto,0.5908175895849778,COMPLETE,2025-03-29 07:05:35.540741,2025-03-29 07:05:46.943787,11.403046
193,gaussiancopula,auto,editednn,0,0.9913421468043316,COMPLETE,2025-03-29 07:05:46.957414,2025-03-29 07:06:01.755884,14.79847
194,copulagan,0.25,instancehardness,auto,0.9870257379972729,COMPLETE,2025-03-29 07:06:01.768579,2025-03-29 07:06:19.718120,17.949541
